fid,cat,cat_,cat__1_1,cat__1,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM_ID,UPDATED,PERIMETER,AREA,LONGITUDE,LATITUDE
55,"55","173","2870","79",City of Alaminos,PH015503000,Pangasinan,PH015500000,Region I,PH010000000,"15503000",2019-12-31,165240.287000000011176,161781473.199999988079071,119.977999999999994,16.152000000000001
56,"56","174","2871","79",City of Alaminos,PH015503000,Pangasinan,PH015500000,Region I,PH010000000,"15503000",2019-12-31,165240.287000000011176,161781473.199999988079071,119.977999999999994,16.152000000000001
57,"57","175","2872","79",City of Alaminos,PH015503000,Pangasinan,PH015500000,Region I,PH010000000,"15503000",2019-12-31,165240.287000000011176,161781473.199999988079071,119.977999999999994,16.152000000000001
58,"58","176","2873","79",City of Alaminos,PH015503000,Pangasinan,PH015500000,Region I,PH010000000,"15503000",2019-12-31,165240.287000000011176,161781473.199999988079071,119.977999999999994,16.152000000000001
59,"59","177","2874","79",City of Alaminos,PH015503000,Pangasinan,PH015500000,Region I,PH010000000,"15503000",2019-12-31,165240.287000000011176,161781473.199999988079071,119.977999999999994,16.152000000000001
60,"60","178","2875","79",City of Alaminos,PH015503000,Pangasinan,PH015500000,Region I,PH010000000,"15503000",2019-12-31,165240.287000000011176,161781473.199999988079071,119.977999999999994,16.152000000000001
61,"61","179","2876","79",City of Alaminos,PH015503000,Pangasinan,PH015500000,Region I,PH010000000,"15503000",2019-12-31,165240.287000000011176,161781473.199999988079071,119.977999999999994,16.152000000000001
62,"62","180","2877","81",Anda,PH015505000,Pangasinan,PH015500000,Region I,PH010000000,"15505000",2019-12-31,98744.293999999994412,77642581.310000002384186,119.975999999999999,16.292999999999999
63,"63","181","2878","81",Anda,PH015505000,Pangasinan,PH015500000,Region I,PH010000000,"15505000",2019-12-31,98744.293999999994412,77642581.310000002384186,119.975999999999999,16.292999999999999
64,"64","182","2879","81",Anda,PH015505000,Pangasinan,PH015500000,Region I,PH010000000,"15505000",2019-12-31,98744.293999999994412,77642581.310000002384186,119.975999999999999,16.292999999999999
65,"65","183","2880","81",Anda,PH015505000,Pangasinan,PH015500000,Region I,PH010000000,"15505000",2019-12-31,98744.293999999994412,77642581.310000002384186,119.975999999999999,16.292999999999999
66,"66","184","2881","81",Anda,PH015505000,Pangasinan,PH015500000,Region I,PH010000000,"15505000",2019-12-31,98744.293999999994412,77642581.310000002384186,119.975999999999999,16.292999999999999
67,"67","185","2882","90",Bolinao,PH015514000,Pangasinan,PH015500000,Region I,PH010000000,"15514000",2019-12-31,119000.668999999994412,206074850.800000011920929,119.872000000000000,16.323000000000000
68,"68","186","2883","90",Bolinao,PH015514000,Pangasinan,PH015500000,Region I,PH010000000,"15514000",2019-12-31,119000.668999999994412,206074850.800000011920929,119.872000000000000,16.323000000000000
69,"69","187","2884","90",Bolinao,PH015514000,Pangasinan,PH015500000,Region I,PH010000000,"15514000",2019-12-31,119000.668999999994412,206074850.800000011920929,119.872000000000000,16.323000000000000
70,"70","188","2885","90",Bolinao,PH015514000,Pangasinan,PH015500000,Region I,PH010000000,"15514000",2019-12-31,119000.668999999994412,206074850.800000011920929,119.872000000000000,16.323000000000000
71,"71","189","2886","95",Dasol,PH015519000,Pangasinan,PH015500000,Region I,PH010000000,"15519000",2019-12-31,103321.691999999995460,177581626.099999994039536,119.897999999999996,15.946999999999999
72,"72","190","2887","118",Sual,PH015542000,Pangasinan,PH015500000,Region I,PH010000000,"15542000",2019-12-31,95696.395000000004075,132681461.400000005960464,120.054000000000002,16.087000000000000
73,"73","191","2888","126",Itbayat,PH020902000,Batanes,PH020900000,Region II,PH020000000,"20902000",2019-12-31,105553.433999999993830,89318607.060000002384186,121.840999999999994,20.768999999999998
74,"74","192","2889","126",Itbayat,PH020902000,Batanes,PH020900000,Region II,PH020000000,"20902000",2019-12-31,105553.433999999993830,89318607.060000002384186,121.840999999999994,20.768999999999998
75,"75","193","2890","126",Itbayat,PH020902000,Batanes,PH020900000,Region II,PH020000000,"20902000",2019-12-31,105553.433999999993830,89318607.060000002384186,121.840999999999994,20.768999999999998
76,"76","194","2891","126",Itbayat,PH020902000,Batanes,PH020900000,Region II,PH020000000,"20902000",2019-12-31,105553.433999999993830,89318607.060000002384186,121.840999999999994,20.768999999999998
77,"77","195","2892","126",Itbayat,PH020902000,Batanes,PH020900000,Region II,PH020000000,"20902000",2019-12-31,105553.433999999993830,89318607.060000002384186,121.840999999999994,20.768999999999998
78,"78","196","2893","126",Itbayat,PH020902000,Batanes,PH020900000,Region II,PH020000000,"20902000",2019-12-31,105553.433999999993830,89318607.060000002384186,121.840999999999994,20.768999999999998
79,"79","197","2894","129",Sabtang,PH020905000,Batanes,PH020900000,Region II,PH020000000,"20905000",2019-12-31,53867.161000000000058,40985894.729999996721745,121.852000000000004,20.311000000000000
80,"80","198","2895","129",Sabtang,PH020905000,Batanes,PH020900000,Region II,PH020000000,"20905000",2019-12-31,53867.161000000000058,40985894.729999996721745,121.852000000000004,20.311000000000000
81,"81","199","2896","129",Sabtang,PH020905000,Batanes,PH020900000,Region II,PH020000000,"20905000",2019-12-31,53867.161000000000058,40985894.729999996721745,121.852000000000004,20.311000000000000
82,"82","200","2897","135",Aparri,PH021505000,Cagayan,PH021500000,Region II,PH020000000,"21505000",2019-12-31,148282.741999999998370,261271302.800000011920929,121.524000000000001,18.535000000000000
83,"83","201","2898","135",Aparri,PH021505000,Cagayan,PH021500000,Region II,PH020000000,"21505000",2019-12-31,148282.741999999998370,261271302.800000011920929,121.524000000000001,18.535000000000000
84,"84","202","2899","139",Calayan,PH021509000,Cagayan,PH021500000,Region II,PH020000000,"21509000",2019-12-31,276679.735999999975320,502715578.800000011920929,121.650999999999996,19.187000000000001
85,"85","203","2900","139",Calayan,PH021509000,Cagayan,PH021500000,Region II,PH020000000,"21509000",2019-12-31,276679.735999999975320,502715578.800000011920929,121.650999999999996,19.187000000000001
86,"86","204","2901","139",Calayan,PH021509000,Cagayan,PH021500000,Region II,PH020000000,"21509000",2019-12-31,276679.735999999975320,502715578.800000011920929,121.650999999999996,19.187000000000001
87,"87","205","2902","139",Calayan,PH021509000,Cagayan,PH021500000,Region II,PH020000000,"21509000",2019-12-31,276679.735999999975320,502715578.800000011920929,121.650999999999996,19.187000000000001
88,"88","206","2903","153",Santa Ana,PH021523000,Cagayan,PH021500000,Region II,PH020000000,"21523000",2019-12-31,198766.878999999986263,434780193.100000023841858,122.221000000000004,18.393000000000001
89,"89","207","2904","153",Santa Ana,PH021523000,Cagayan,PH021500000,Region II,PH020000000,"21523000",2019-12-31,198766.878999999986263,434780193.100000023841858,122.221000000000004,18.393000000000001
90,"90","208","2905","153",Santa Ana,PH021523000,Cagayan,PH021500000,Region II,PH020000000,"21523000",2019-12-31,198766.878999999986263,434780193.100000023841858,122.221000000000004,18.393000000000001
91,"91","209","2906","153",Santa Ana,PH021523000,Cagayan,PH021500000,Region II,PH020000000,"21523000",2019-12-31,198766.878999999986263,434780193.100000023841858,122.221000000000004,18.393000000000001
92,"92","210","2907","153",Santa Ana,PH021523000,Cagayan,PH021500000,Region II,PH020000000,"21523000",2019-12-31,198766.878999999986263,434780193.100000023841858,122.221000000000004,18.393000000000001
