Shape_Leng,Shape_Area,ADM0_EN,ADM0_PCODE,date,validOn,validTo
0.02537665753,0.00001573767,Philippines (the),PH,2022/11/09,2023/11/06,
0.00243725775,0.00000027800,Philippines (the),PH,2022/11/09,2023/11/06,
0.01598890853,0.00001213953,Philippines (the),PH,2022/11/09,2023/11/06,
0.00095646289,0.00000006524,Philippines (the),PH,2022/11/09,2023/11/06,
0.00404541909,0.00000067551,Philippines (the),PH,2022/11/09,2023/11/06,
0.00278765672,0.00000051632,Philippines (the),PH,2022/11/09,2023/11/06,
0.03911325541,0.00007097015,Philippines (the),PH,2022/11/09,2023/11/06,
0.01996143650,0.00001342579,Philippines (the),PH,2022/11/09,2023/11/06,
0.01064484076,0.00000498402,Philippines (the),PH,2022/11/09,2023/11/06,
0.03776204022,0.00000342510,Philippines (the),PH,2022/11/09,2023/11/06,
0.03922865506,0.00005975483,Philippines (the),PH,2022/11/09,2023/11/06,
0.00621789298,0.00000184370,Philippines (the),PH,2022/11/09,2023/11/06,
0.00337217025,0.00000071415,Philippines (the),PH,2022/11/09,2023/11/06,
0.00265539469,0.00000024394,Philippines (the),PH,2022/11/09,2023/11/06,
0.00873483363,0.00000044988,Philippines (the),PH,2022/11/09,2023/11/06,
0.12702402932,0.00005359357,Philippines (the),PH,2022/11/09,2023/11/06,
0.00871984289,0.00000528029,Philippines (the),PH,2022/11/09,2023/11/06,
0.00204092129,0.00000014158,Philippines (the),PH,2022/11/09,2023/11/06,
0.00218766178,0.00000024006,Philippines (the),PH,2022/11/09,2023/11/06,
0.00274193683,0.00000018054,Philippines (the),PH,2022/11/09,2023/11/06,
0.00182248174,0.00000015072,Philippines (the),PH,2022/11/09,2023/11/06,
0.01033737598,0.00000516850,Philippines (the),PH,2022/11/09,2023/11/06,
0.00382103523,0.00000072876,Philippines (the),PH,2022/11/09,2023/11/06,
0.00106017368,0.00000006311,Philippines (the),PH,2022/11/09,2023/11/06,
0.00879663801,0.00000411014,Philippines (the),PH,2022/11/09,2023/11/06,
0.00519061647,0.00000050025,Philippines (the),PH,2022/11/09,2023/11/06,
0.01373645852,0.00001006304,Philippines (the),PH,2022/11/09,2023/11/06,
0.00111121050,0.00000005162,Philippines (the),PH,2022/11/09,2023/11/06,
0.00134210214,0.00000006471,Philippines (the),PH,2022/11/09,2023/11/06,
0.01165217240,0.00000604054,Philippines (the),PH,2022/11/09,2023/11/06,
0.00244742327,0.00000012595,Philippines (the),PH,2022/11/09,2023/11/06,
0.00296871799,0.00000035777,Philippines (the),PH,2022/11/09,2023/11/06,
0.00251953641,0.00000025282,Philippines (the),PH,2022/11/09,2023/11/06,
0.51313390112,0.00159506611,Philippines (the),PH,2022/11/09,2023/11/06,
0.17573119317,0.00130250196,Philippines (the),PH,2022/11/09,2023/11/06,
0.00384776944,0.00000027005,Philippines (the),PH,2022/11/09,2023/11/06,
0.09582368078,0.00009184513,Philippines (the),PH,2022/11/09,2023/11/06,
0.02093517822,0.00000432482,Philippines (the),PH,2022/11/09,2023/11/06,
0.00430125689,0.00000062054,Philippines (the),PH,2022/11/09,2023/11/06,
0.02231462105,0.00000317187,Philippines (the),PH,2022/11/09,2023/11/06,
0.00192985862,0.00000019605,Philippines (the),PH,2022/11/09,2023/11/06,
0.00170808191,0.00000016174,Philippines (the),PH,2022/11/09,2023/11/06,
0.00042668914,0.00000001227,Philippines (the),PH,2022/11/09,2023/11/06,
0.00021857084,0.00000000360,Philippines (the),PH,2022/11/09,2023/11/06,
0.03449979364,0.00001129990,Philippines (the),PH,2022/11/09,2023/11/06,
0.00029701869,0.00000000583,Philippines (the),PH,2022/11/09,2023/11/06,
0.00035025237,0.00000000829,Philippines (the),PH,2022/11/09,2023/11/06,
0.00441244185,0.00000061772,Philippines (the),PH,2022/11/09,2023/11/06,
0.00199500057,0.00000026569,Philippines (the),PH,2022/11/09,2023/11/06,
0.02778183796,0.00001074212,Philippines (the),PH,2022/11/09,2023/11/06,
0.00171151395,0.00000018765,Philippines (the),PH,2022/11/09,2023/11/06,
0.10192017449,0.00033276868,Philippines (the),PH,2022/11/09,2023/11/06,
0.00244263261,0.00000025680,Philippines (the),PH,2022/11/09,2023/11/06,
0.02387138821,0.00002167373,Philippines (the),PH,2022/11/09,2023/11/06,
1.03592275433,0.00853697131,Philippines (the),PH,2022/11/09,2023/11/06,
0.01244352316,0.00000524864,Philippines (the),PH,2022/11/09,2023/11/06,
0.00056178071,0.00000002150,Philippines (the),PH,2022/11/09,2023/11/06,
0.00182796818,0.00000011694,Philippines (the),PH,2022/11/09,2023/11/06,
0.00676338532,0.00000108793,Philippines (the),PH,2022/11/09,2023/11/06,
0.00854132253,0.00000137227,Philippines (the),PH,2022/11/09,2023/11/06,
0.00454041504,0.00000075629,Philippines (the),PH,2022/11/09,2023/11/06,
0.02028493950,0.00001390002,Philippines (the),PH,2022/11/09,2023/11/06,
0.43912032938,0.00326204161,Philippines (the),PH,2022/11/09,2023/11/06,
0.01103868005,0.00000404237,Philippines (the),PH,2022/11/09,2023/11/06,
0.02784938984,0.00000911823,Philippines (the),PH,2022/11/09,2023/11/06,
0.00343676387,0.00000029200,Philippines (the),PH,2022/11/09,2023/11/06,
0.00545487848,0.00000093230,Philippines (the),PH,2022/11/09,2023/11/06,
0.02354691658,0.00002235405,Philippines (the),PH,2022/11/09,2023/11/06,
0.00388821986,0.00000077163,Philippines (the),PH,2022/11/09,2023/11/06,
0.00428616760,0.00000072731,Philippines (the),PH,2022/11/09,2023/11/06,
0.03295512467,0.00002418483,Philippines (the),PH,2022/11/09,2023/11/06,
0.00261498179,0.00000032454,Philippines (the),PH,2022/11/09,2023/11/06,
0.01401022135,0.00000786760,Philippines (the),PH,2022/11/09,2023/11/06,
0.01257377794,0.00000216545,Philippines (the),PH,2022/11/09,2023/11/06,
0.02367171461,0.00001252253,Philippines (the),PH,2022/11/09,2023/11/06,
